episode, reward, steps, success, n_collisions, n_unique_collisions, timedout
0.0,-2726.506103515625,517.0,0.0,4.0,4.0,0.0
1.0,-500.7613830566406,216.0,0.0,4.0,4.0,0.0
2.0,-211.14773559570312,277.0,0.0,1.0,1.0,0.0
3.0,-294.5369873046875,358.0,0.0,2.0,2.0,0.0
4.0,-264.80645751953125,237.0,0.0,2.0,2.0,0.0
5.0,-345.68963623046875,193.0,0.0,3.0,3.0,0.0
6.0,-243.984375,185.0,0.0,2.0,2.0,0.0
7.0,-175.08702087402344,324.0,0.0,1.0,1.0,0.0
8.0,-196.107421875,208.0,0.0,1.0,1.0,0.0
9.0,-212.80728149414062,230.0,0.0,1.0,1.0,0.0
10.0,-347.19818115234375,233.0,0.0,2.0,2.0,0.0
11.0,-207.26318359375,254.0,0.0,1.0,1.0,0.0
12.0,-344.5525817871094,271.0,0.0,2.0,2.0,0.0
13.0,-184.22171020507812,300.0,0.0,1.0,1.0,0.0
14.0,-169.52926635742188,452.0,1.0,0.0,0.0,0.0
15.0,-292.23394775390625,250.0,0.0,1.0,1.0,0.0
16.0,-165.168701171875,218.0,0.0,1.0,1.0,0.0
17.0,-289.9957275390625,227.0,0.0,1.0,1.0,0.0
18.0,-360.0810546875,285.0,0.0,2.0,2.0,0.0
19.0,-501.477783203125,299.0,0.0,3.0,3.0,0.0
20.0,-365.50872802734375,238.0,0.0,2.0,2.0,0.0
21.0,-239.95223999023438,200.0,0.0,1.0,1.0,0.0
22.0,-401.46868896484375,277.0,0.0,2.0,2.0,0.0
23.0,-355.2579345703125,232.0,0.0,2.0,2.0,0.0
24.0,-300.77337646484375,205.0,0.0,2.0,2.0,0.0
25.0,-225.73104858398438,278.0,0.0,1.0,1.0,0.0
26.0,-357.05145263671875,261.0,0.0,2.0,2.0,0.0
27.0,-381.33172607421875,306.0,0.0,1.0,1.0,0.0
28.0,-370.0240478515625,277.0,0.0,2.0,2.0,0.0
29.0,-114.73458862304688,249.0,1.0,0.0,0.0,0.0
30.0,-362.662109375,269.0,0.0,1.0,1.0,0.0
31.0,-452.18701171875,296.0,0.0,3.0,3.0,0.0
32.0,-602.4000854492188,211.0,0.0,4.0,4.0,0.0
33.0,-453.9136047363281,225.0,0.0,2.0,2.0,0.0
34.0,-203.84561157226562,304.0,0.0,1.0,1.0,0.0
35.0,-192.08131408691406,253.0,0.0,1.0,1.0,0.0
36.0,-434.8215637207031,200.0,0.0,3.0,3.0,0.0
37.0,-347.6031799316406,230.0,0.0,2.0,2.0,0.0
