train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.1,0,18,3,689.0,0,0.17428221600601074,0.12,0,88,1,1683.0,0,25,-4352.216,2527.4332434309713,-2438.7068,-10243.169,-3438.7488,1126.8751128674376,-2148.0886,-10169.903,170.175,176.98663,300306,500,6159.267606973648
0.25,0,15,0,267.0,0,0.16911093600625798,0.12,0,88,4,2156.0,0,26,-3180.5264,914.0020240677807,-2171.3103,-5085.036,-3640.1973,1560.7014320490644,-2074.6353,-10239.851,175.93333,175.0067,312658,520,6403.386118173599
0.1,0,18,0,271.0,0,0.16392504000650593,0.16,0,84,1,1479.0,0,27,-3205.041,670.5436227420256,-2211.8667,-4730.949,-3341.4353,1029.1304679193984,-2058.022,-10130.337,176.46667,177.48,325048,540,6651.041137218475
0.15,0,17,1,358.0,0,0.15843499200676842,0.15,0,85,1,1289.0,0,28,-3380.088,1658.2859222703423,-2254.284,-10117.67,-3219.441,976.1285571071056,-2262.27,-10252.6875,172.44168,177.10332,338168,560,6897.7499260902405
0.05,0,19,0,325.0,0,0.15331034400701343,0.17,0,83,3,1568.0,0,29,-3411.601,760.9739811583573,-2307.7717,-5122.5767,-3317.8,1395.8550641094512,-2204.8,-10283.488,177.48334,175.2,350406,580,7141.889927148819
0.2,0,16,0,225.0,0,0.14822536800725655,0.21,0,79,1,1306.0,0,30,-3136.0142,625.8550551046144,-2339.3064,-4788.4424,-3114.1655,1028.8044712188998,-2101.9731,-10080.373,177.75833,174.57835,362558,600,7394.718789100647
0.05,0,19,0,362.0,0,0.14321973600749588,0.13,0,87,1,1393.0,0,31,-3539.5562,1071.8582928727099,-2459.227,-6161.1333,-3128.5232,977.102901438738,-2012.3331,-10150.907,178.14166,174.08664,374518,620,7643.366065502167
0.1,0,18,0,365.0,0,0.13845352800772376,0.1,0,90,1,1610.0,0,32,-3554.977,993.8893801626014,-2209.8296,-5554.888,-3420.84,963.8138409464766,-2140.0508,-10234.235,178.15834,177.42668,385906,640,7889.958369731903
0.2,0,16,0,218.0,0,0.13281453600799337,0.22,0,78,2,1438.0,0,33,-3050.6448,550.8852421330598,-2368.7898,-4157.355,-3182.4285,1218.235116880153,-1995.7655,-10102.595,176.375,174.10498,399382,660,8137.390904188156
0.2,0,16,0,235.0,0,0.12776436000823482,0.11,0,89,1,1419.0,0,34,-3134.5417,717.4927874201942,-2298.891,-5069.3174,-3286.5376,1026.2815208313946,-1942.93,-10238.328,177.03333,176.93166,411438,680,8381.114946126938
0.15,0,17,0,311.0,0,0.12277334400847345,0.14,0,86,1,1488.0,0,35,-3374.0156,918.5197874841891,-2206.312,-5640.3164,-3237.571,1000.7205004395584,-2081.7598,-10155.11,177.73335,175.39835,423352,700,8624.218965530396
0.1,0,18,0,270.0,0,0.11754290400872353,0.18,0,82,0,1242.0,0,36,-3238.1973,712.9231725789252,-2375.956,-5004.0425,-3067.8835,732.3144133498944,-2069.4844,-5369.6416,177.225,174.78,435846,720,8865.351480722427
0.05,0,19,0,216.0,0,0.11247672000896575,0.12,0,88,1,1500.0,0,37,-3099.231,608.0078330087533,-2412.719,-4227.1616,-3234.9497,1059.4617501354167,-2028.233,-10165.741,177.44167,174.81836,447944,740,9104.879414319992
0.05,0,19,0,300.0,0,0.10760332800919875,0.17,0,83,2,1646.0,0,38,-3343.4055,492.0026676756946,-2324.1265,-4140.3784,-3405.6365,1240.9206904552764,-2129.2192,-10234.835,177.55,176.70334,459584,760,9352.477923870087
0.2,0,16,1,323.0,0,0.1025468880094405,0.22,0,78,1,1447.0,0,39,-3296.0942,1721.911147533461,-2212.9863,-10212.639,-3239.9807,1057.4884207403882,-2109.2512,-10221.227,172.98334,175.54834,471666,780,9600.732948064804
0.05,0,19,2,534.0,0,0.09775075200966982,0.11,0,89,6,2109.0,0,40,-3883.0964,2204.8257981074153,-2338.6287,-10244.018,-3613.7776,1751.7304815524562,-2166.2434,-10095.531,171.69167,173.52834,483120,800,9843.641958475113
0.1,0,18,2,475.0,0,0.09277087200990791,0.18,0,82,3,1696.0,0,41,-3696.554,2239.804723631058,-2282.6377,-10319.435,-3343.2776,1389.6163499325992,-2104.527,-10144.088,170.5,174.12997,495010,820,10084.913959503174
0.25,0,15,1,289.0,0,0.08770886401014993,0.14,0,86,2,1736.0,0,42,-3166.7573,1659.3457144308416,-2199.536,-10172.024,-3482.8857,1278.2221403183407,-2170.6147,-10207.24,173.31668,177.21,507104,840,10334.959510087967
0.05,0,19,0,280.0,0,0.08292108001037884,0.16,0,84,1,1448.0,0,43,-3200.689,456.89923670323634,-2280.1326,-3898.4854,-3149.0637,996.8690184773524,-2067.098,-10262.79,175.975,173.69167,518538,860,10575.109046459198
0.1,0,18,0,266.0,0,0.07768437601062922,0.14,0,86,2,1652.0,0,44,-3179.7666,740.0295264379658,-2328.2598,-4894.1553,-3345.5752,1225.0841603742986,-2131.7778,-10163.357,176.29166,175.04333,531050,880,10830.326093673706
0.15,0,17,0,281.0,0,0.07262584801087107,0.13,0,87,0,1322.0,0,45,-3238.8833,677.1795552141249,-2119.7874,-4343.6357,-3211.2703,712.9563240479741,-2210.1152,-5316.262,176.28336,176.87498,543138,900,11075.592561244965
0.1,0,18,0,257.0,0,0.06744204001111892,0.15,0,85,1,1407.0,0,46,-3126.684,643.055732421382,-2176.7725,-4769.6357,-3136.133,979.1758575455177,-1936.5177,-10003.307,175.53334,174.08,555514,920,11316.88172841072
0.2,0,16,1,407.0,0,0.062369592011353635,0.12,0,88,0,1473.0,0,47,-3535.144,1693.5147475000033,-2037.2745,-10001.88,-3307.4639,802.4415492732165,-2261.9043,-6636.6025,174.25833,177.18668,567630,940,11560.201181173325
0.05,0,19,0,275.0,0,0.05743008001129433,0.09,0,91,0,1542.0,0,48,-3271.4812,503.3647534343262,-2207.1436,-4130.0176,-3207.7686,765.4073947905129,-2039.0366,-5784.12,177.70001,174.19331,579428,960,11800.88696050644
0.15,0,17,1,422.0,0,0.05251284001123529,0.15,0,85,1,1480.0,0,49,-3616.6335,1716.0037295996765,-2179.372,-10055.47,-3276.8271,1035.7716350624785,-2160.6814,-10363.937,173.86667,175.95335,591174,980,12048.019482135773
0.2,0,16,0,265.0,0,0.04726778401117231,0.13,0,87,4,1852.0,0,50,-3212.518,803.4335691269067,-2269.4075,-5423.1133,-3463.6045,1539.5398793145957,-2222.8604,-10256.265,177.00833,174.64835,603706,1000,12295.551055669785
0.1,0,18,0,263.0,0,0.04214104801111076,0.14,0,86,3,1852.0,0,51,-3147.5984,709.0078278834444,-2189.7498,-5251.638,-3466.0168,1426.5689187697872,-2063.9377,-10228.911,175.73332,175.12833,615950,1020,12543.197056770325
0.15,0,17,0,252.0,0,0.0369057360110479,0.12,0,88,1,1588.0,0,52,-3132.8005,658.7149611174776,-2203.274,-4495.0815,-3331.536,1043.2475832706252,-2128.7268,-10141.233,176.01666,175.84668,628450,1040,12796.889374256134
0.35,0,13,1,391.0,0,0.031877136010987524,0.16,0,84,0,1431.0,0,53,-3482.9473,1750.9500849538802,-2039.7417,-10227.239,-3237.0872,782.6811866909795,-2172.614,-5496.121,173.95,176.05998,640464,1060,13044.014696359634
