train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.8,1,4,0,518.0,4,0.1675840666679283,0.82,12,6,0,24.0,59,26,-549.7004,2118.884895410791,-24.250412,-9783.456,-759.3784,2009.2596845604603,0.0,-7250.42,130.72499,147.965,273964,520,6162.577999591827
0.75,0,5,1,510.0,0,0.1625216333346432,0.84,10,6,0,8.0,49,27,-642.2052,2158.706279233004,-32.716877,-10033.274,-609.76624,1772.1003131877158,0.0,-7252.56,146.65833,141.10333,284438,540,6394.082998991013
0.85,1,3,0,430.0,4,0.15765350000135625,0.88,7,5,0,6.0,34,28,-496.39404,1844.5048115957843,-28.198614,-8530.619,-433.2791,1509.7669224088863,-0.29,-7087.47,130.25,130.03168,294510,560,6606.034001350403
0.9,0,2,0,13.0,0,0.15286656666806853,0.75,19,10,0,1436.0,82,29,-149.80293,198.24267010409238,-29.795082,-684.94904,-1160.833,2371.1045864744137,0.0,-9008.23,130.50833,166.56,304414,580,6850.556000471115
0.8,0,4,0,39.0,0,0.14787470000144942,0.79,20,1,0,2.0,98,30,-101.14583,111.67396742303016,-20.408018,-491.07516,-1212.888,2419.3177220034577,0.0,-7302.77,121.625,173.02832,314742,600,7105.274000644684
0.6,2,8,4,2426.0,7,0.14090696666818248,0.91,6,3,0,7.0,27,31,-2993.68,4210.952006375755,-22.748724,-10057.759,-350.4735,1311.961157961622,0.0,-7313.465,230.66666,125.24,329158,620,7378.6010003089905
0.75,0,5,3,1444.0,0,0.13505960000157152,0.0,100,0,0,0.0,556,32,-1653.2903,3537.057873430968,-19.86599,-10040.674,-6834.7656,834.7619061744492,-3825.9775,-7416.16,172.75002,473.81668,341256,640,7855.194000959396
0.8,0,4,2,957.0,0,0.12946453333495817,0.93,3,5,0,54.0,14,33,-1081.2673,2981.0386109542424,-17.294985,-10029.676,-200.99123,970.6940197611192,0.0,-6084.02,151.00833,117.49666,352832,660,8079.537001609802
0.7,2,6,0,838.0,8,0.12399803333499586,0.73,18,17,1,3938.0,75,34,-952.28973,2621.5062845623697,-22.185738,-8853.554,-1294.7253,2680.9687801240802,0.0,-10031.2,144.975,163.43834,364142,680,8326.13899922371
0.7,0,6,1,543.0,0,0.11875870000163723,0.91,7,4,0,16.0,37,35,-640.4166,2170.475984663272,-15.945407,-10004.122,-463.9824,1632.128083209158,0.0,-7304.0986,138.78333,130.52,374982,700,8557.140002012253
0.75,0,5,2,961.0,0,0.11334343333494441,0.81,12,7,0,13.0,57,36,-1171.8702,2995.810941965464,-18.2991,-10047.713,-743.4102,1967.9982926821863,0.0,-7242.066,157.63333,147.75833,386186,720,8801.118999958038
0.7,3,6,0,1067.0,11,0.10784986666825122,0.76,23,2,1,418.0,101,37,-1365.6614,3080.5885152028986,-26.25221,-9643.94,-1298.9868,2440.0259670749406,0.0,-10004.371,163.54166,176.33331,397552,740,9077.182000875473
0.75,0,5,0,15.0,0,0.10290536666822735,0.84,8,9,0,459.0,37,38,-82.7709,102.10785122237172,-23.312384,-505.93292,-504.6631,1642.6286251006343,0.0,-7166.34,119.783325,132.8,407782,760,9290.23499917984
0.9,0,2,1,348.0,0,0.09781780000153611,0.89,9,2,0,8.0,46,39,-580.58875,2173.5072118582907,-20.15264,-10045.801,-578.1524,1778.0307308930292,0.0,-7257.53,138.54167,138.61333,418308,780,9521.106002807617
0.75,1,5,0,204.0,4,0.09181866666817382,0.93,5,2,0,13.0,26,40,-874.7545,1710.8931585578334,-23.98775,-6227.6724,-350.63867,1392.3048516758104,-2.45,-7061.403,173.53333,128.10834,430720,800,9765.98200082779
