episode, reward, steps, success, n_collisions, n_unique_collisions, timedout
0.0,-277.918212890625,230.0,0.0,2.0,2.0,0.0
1.0,-145.77145385742188,216.0,0.0,1.0,1.0,0.0
2.0,-52.3782844543457,218.0,1.0,0.0,0.0,0.0
3.0,-144.55160522460938,214.0,0.0,1.0,1.0,0.0
4.0,-142.91500854492188,329.0,0.0,1.0,1.0,0.0
5.0,-44.278358459472656,243.0,1.0,0.0,0.0,0.0
6.0,-231.5347900390625,197.0,0.0,2.0,2.0,0.0
7.0,-232.67947387695312,201.0,0.0,2.0,2.0,0.0
8.0,-145.41197204589844,260.0,0.0,1.0,1.0,0.0
9.0,-50.49581527709961,243.0,1.0,0.0,0.0,0.0
10.0,-40.283042907714844,306.0,1.0,0.0,0.0,0.0
11.0,-138.8417205810547,198.0,0.0,1.0,1.0,0.0
12.0,-234.2586669921875,268.0,0.0,2.0,2.0,0.0
13.0,-138.10842895507812,296.0,0.0,1.0,1.0,0.0
14.0,-144.65663146972656,159.0,0.0,1.0,1.0,0.0
15.0,-45.05841064453125,339.0,1.0,0.0,0.0,0.0
16.0,-137.76942443847656,251.0,0.0,1.0,1.0,0.0
17.0,-236.3728790283203,199.0,0.0,2.0,2.0,0.0
18.0,-141.59568786621094,250.0,0.0,1.0,1.0,0.0
19.0,-329.5145263671875,168.0,0.0,3.0,3.0,0.0
20.0,-648.2332763671875,318.0,0.0,3.0,3.0,0.0
21.0,-857.638916015625,320.0,0.0,3.0,3.0,0.0
22.0,-1156.248779296875,350.0,0.0,3.0,3.0,0.0
23.0,-1117.24755859375,331.0,0.0,5.0,5.0,0.0
24.0,-1216.4364013671875,357.0,0.0,4.0,4.0,0.0
25.0,-419.2793884277344,189.0,0.0,3.0,3.0,0.0
26.0,-205.72763061523438,227.0,0.0,1.0,1.0,0.0
27.0,-297.39813232421875,252.0,0.0,2.0,2.0,0.0
28.0,-430.0390625,259.0,0.0,2.0,2.0,0.0
29.0,-147.6887969970703,276.0,0.0,1.0,1.0,0.0
30.0,-273.4661865234375,229.0,0.0,2.0,2.0,0.0
31.0,-234.7400360107422,255.0,0.0,2.0,2.0,0.0
32.0,-67.51133728027344,258.0,1.0,0.0,0.0,0.0
33.0,-54.15339279174805,209.0,1.0,0.0,0.0,0.0
34.0,-182.8773193359375,207.0,0.0,1.0,1.0,0.0
35.0,-344.15753173828125,220.0,0.0,2.0,2.0,0.0
