episode, reward, steps, success, n_collisions, n_unique_collisions, timedout
0.0,-255.45326232910156,337.0,0.0,1.0,1.0,0.0
1.0,-235.9349365234375,229.0,0.0,2.0,2.0,0.0
2.0,-332.020263671875,153.0,0.0,3.0,3.0,0.0
3.0,-47.50229263305664,341.0,1.0,0.0,0.0,0.0
4.0,-165.2664031982422,317.0,0.0,1.0,1.0,0.0
5.0,-247.92349243164062,229.0,0.0,1.0,1.0,0.0
6.0,-292.4608154296875,240.0,0.0,2.0,2.0,0.0
7.0,-330.44671630859375,325.0,0.0,2.0,2.0,0.0
8.0,-357.945068359375,261.0,0.0,2.0,2.0,0.0
9.0,-295.1479797363281,228.0,0.0,2.0,2.0,0.0
10.0,-270.5290222167969,222.0,0.0,2.0,2.0,0.0
11.0,-238.6524200439453,316.0,0.0,1.0,1.0,0.0
12.0,-347.8516845703125,285.0,0.0,2.0,2.0,0.0
13.0,-310.0668029785156,207.0,0.0,2.0,2.0,0.0
14.0,-475.41204833984375,380.0,0.0,1.0,1.0,0.0
15.0,-830.6390380859375,403.0,0.0,2.0,2.0,0.0
16.0,-339.8494567871094,310.0,0.0,1.0,1.0,0.0
17.0,-695.6671752929688,320.0,0.0,3.0,3.0,0.0
18.0,-260.03948974609375,272.0,0.0,1.0,1.0,0.0
19.0,-465.62322998046875,272.0,0.0,2.0,2.0,0.0
20.0,-338.3424377441406,279.0,0.0,2.0,2.0,0.0
21.0,-479.0458984375,363.0,0.0,2.0,2.0,0.0
22.0,-644.8624267578125,318.0,0.0,3.0,3.0,0.0
23.0,-342.954345703125,239.0,0.0,2.0,2.0,0.0
24.0,-260.0072021484375,235.0,0.0,1.0,1.0,0.0
25.0,-539.0452270507812,308.0,0.0,2.0,2.0,0.0
26.0,-846.557861328125,421.0,0.0,2.0,2.0,0.0
27.0,-1097.6494140625,408.0,0.0,2.0,2.0,0.0
28.0,-1092.6683349609375,349.0,0.0,4.0,4.0,0.0
29.0,-677.7469482421875,322.0,0.0,2.0,2.0,0.0
30.0,-571.6047973632812,439.0,0.0,2.0,2.0,0.0
31.0,-555.7938232421875,487.0,0.0,2.0,2.0,0.0
32.0,-235.36181640625,226.0,0.0,1.0,1.0,0.0
33.0,-247.31219482421875,239.0,0.0,1.0,1.0,0.0
34.0,-296.2049255371094,308.0,1.0,0.0,0.0,0.0
35.0,-217.016357421875,311.0,0.0,1.0,1.0,0.0
36.0,-358.56536865234375,227.0,0.0,2.0,2.0,0.0
37.0,-407.9935302734375,294.0,0.0,2.0,2.0,0.0
38.0,-93.23172760009766,330.0,1.0,0.0,0.0,0.0
39.0,-231.81149291992188,182.0,0.0,1.0,1.0,0.0
40.0,-213.11532592773438,243.0,0.0,1.0,1.0,0.0
41.0,-119.40217590332031,278.0,1.0,0.0,0.0,0.0
42.0,-282.81964111328125,184.0,0.0,2.0,2.0,0.0
43.0,-88.62661743164062,284.0,1.0,0.0,0.0,0.0
44.0,-141.08438110351562,229.0,1.0,0.0,0.0,0.0
45.0,-213.30531311035156,247.0,0.0,1.0,1.0,0.0
46.0,-92.79393005371094,237.0,1.0,0.0,0.0,0.0
47.0,-130.59347534179688,268.0,1.0,0.0,0.0,0.0
48.0,-153.71212768554688,321.0,1.0,0.0,0.0,0.0
49.0,-365.4991455078125,168.0,0.0,3.0,3.0,0.0
50.0,-263.3607482910156,234.0,0.0,1.0,1.0,0.0
51.0,-122.14242553710938,219.0,1.0,0.0,0.0,0.0
52.0,-169.99395751953125,206.0,0.0,1.0,1.0,0.0
53.0,-170.24085998535156,280.0,0.0,1.0,1.0,0.0
54.0,-331.237060546875,330.0,0.0,2.0,2.0,0.0
55.0,-359.912353515625,224.0,0.0,3.0,3.0,0.0
56.0,-136.4168701171875,263.0,1.0,0.0,0.0,0.0
57.0,-78.09806823730469,230.0,1.0,0.0,0.0,0.0
58.0,-219.46163940429688,232.0,0.0,1.0,1.0,0.0
59.0,-159.72650146484375,252.0,0.0,1.0,1.0,0.0
60.0,-262.75177001953125,229.0,0.0,2.0,2.0,0.0
61.0,-280.43865966796875,234.0,0.0,1.0,1.0,0.0
62.0,-272.8064880371094,179.0,0.0,2.0,2.0,0.0
63.0,-129.02565002441406,262.0,1.0,0.0,0.0,0.0
64.0,-315.2192077636719,231.0,0.0,2.0,2.0,0.0
65.0,-192.18727111816406,192.0,0.0,1.0,1.0,0.0
66.0,-401.89862060546875,231.0,0.0,2.0,2.0,0.0
67.0,-244.17091369628906,245.0,0.0,1.0,1.0,0.0
68.0,-290.8571472167969,197.0,0.0,2.0,2.0,0.0
69.0,-277.19403076171875,180.0,0.0,2.0,2.0,0.0
70.0,-233.93936157226562,328.0,0.0,1.0,1.0,0.0
71.0,-64.17815399169922,274.0,1.0,0.0,0.0,0.0
72.0,-74.95220947265625,299.0,1.0,0.0,0.0,0.0
73.0,-66.10493469238281,282.0,1.0,0.0,0.0,0.0
74.0,-181.6382293701172,309.0,0.0,1.0,1.0,0.0
75.0,-266.87677001953125,196.0,0.0,2.0,2.0,0.0
76.0,-153.95138549804688,228.0,0.0,1.0,1.0,0.0
77.0,-89.61869049072266,263.0,1.0,0.0,0.0,0.0
78.0,-164.84115600585938,273.0,0.0,1.0,1.0,0.0
79.0,-279.53302001953125,174.0,0.0,2.0,2.0,0.0
80.0,-86.90894317626953,268.0,1.0,0.0,0.0,0.0
81.0,-165.549072265625,263.0,0.0,1.0,1.0,0.0
82.0,-150.50697326660156,192.0,0.0,1.0,1.0,0.0
83.0,-264.57659912109375,205.0,0.0,2.0,2.0,0.0
84.0,-101.88594818115234,192.0,1.0,0.0,0.0,0.0
85.0,-315.0074768066406,308.0,0.0,2.0,2.0,0.0
