train_success_rate,train_num_timeout_failures,train_num_collisions_failures,train_num_minimum_reward_reached,train_total_collisions,train_total_timeouts,agent_noise_std,success_rate,num_timeout_failures,num_collision_failures,num_minimum_reward_reached,total_collisions,total_timeouts,epoch,average_reward,std_reward,max_reward,min_reward,average_test_reward,std_test_reward,max_test_reward,min_test_reward,steps,test_steps,total_env_steps,total_episodes,time
0.25,0,15,2,1311.0,0,0.1757108333273802,0.36,10,58,0,303.0,48,25,-1109.4368,2974.5335096448316,-22.384773,-10025.073,-611.15796,1752.5340738484945,0.0,-7221.43,139.05832,134.51999,257150,500,23927.2460167408
0.5,0,10,2,1273.0,0,0.17072283332714128,0.69,7,25,0,104.0,35,26,-1070.3181,2987.7658542797494,-21.923615,-10039.114,-443.34045,1539.2707364203347,0.0,-7279.96,137.29167,128.32834,267470,520,24885.654501914978
0.55,0,9,1,660.0,0,0.16591173332691084,0.33,5,62,0,486.0,24,27,-556.5856,2167.3129907791354,-22.042723,-10001.792,-342.8743,1266.589688889026,0.0,-7242.941,122.458336,119.888336,277424,540,25808.72650027275
0.35,0,13,1,777.0,0,0.16108129999334614,0.32,0,68,0,534.0,0,28,-642.90027,2158.9873552200347,-20.002258,-10031.554,-59.307926,67.76131363100924,0.0,-411.81473,128.275,102.905,287418,560,26718.684501886368
0.4,0,12,0,158.0,0,0.15643743332645704,0.38,10,55,0,405.0,49,29,-188.42056,453.877516517397,-19.122742,-2125.167,-654.39166,1862.005198703806,0.0,-7262.003,121.10832,136.525,297026,580,27733.250502586365
0.25,0,15,3,1899.0,0,0.15136919999288095,0.43,6,54,0,258.0,31,30,-1584.54,3555.7718711975886,-20.060537,-10055.775,-410.0998,1501.3943386066167,0.0,-7016.09,149.96666,125.00167,307512,600,28948.209768533707
0.3,0,14,1,737.0,0,0.1465203999926487,0.39,6,56,0,323.0,35,31,-566.8013,2172.1405111088,-22.242939,-10033.283,-451.75876,1617.8384097307123,0.0,-7018.4995,121.05,126.49167,317544,620,30029.159770727158
0.45,0,11,0,63.0,0,0.14176826665908776,0.44,4,52,1,743.0,19,32,-73.351974,73.60689505746048,-19.951984,-340.4731,-368.58777,1481.6650633662116,0.0,-10003.19,112.91667,120.10166,327376,640,31328.607721567154
0.35,0,13,2,1253.0,0,0.13650959999216922,0.47,15,40,1,1038.0,74,33,-1125.056,2970.537998410389,-18.206398,-10039.949,-1067.2152,2432.727259682022,0.0,-10004.47,142.94998,159.01501,338256,660,32760.140922307968
0.45,0,11,0,221.0,0,0.1319904333252861,0.26,2,74,0,525.0,9,34,-255.75894,770.5475650470904,-17.623625,-3602.471,-174.38144,816.0417146200309,0.0,-6693.547,122.691666,109.735,347606,680,34160.263226270676
0.4,0,12,1,731.0,0,0.12699856665838033,0.31,8,63,0,307.0,44,35,-641.36414,2171.940883173389,-16.1676,-10034.134,-560.6843,1772.9695767271362,0.0,-7174.532,128.64168,132.39667,357934,700,35629.99644255638
0.35,1,13,0,433.0,4,0.12176696665840825,0.58,14,29,0,103.0,62,36,-511.54532,1690.3484847805792,-17.112547,-7770.5605,-784.3407,1910.600659478584,0.0,-6926.95,129.06668,147.82834,368758,720,37255.7986869812
0.55,0,9,1,550.0,0,0.11724199999191462,0.49,47,11,0,464.0,197,37,-552.2782,2175.6288286378262,-15.476196,-10033.737,-2470.9111,2787.7180919167563,0.0,-7318.46,127.091675,240.76,378120,740,39045.40666651726
0.6,0,8,1,481.0,0,0.11229073332543729,0.66,13,23,0,86.0,57,38,-576.9852,2165.8010989008203,-15.38394,-10002.865,-713.3619,1842.8880812463897,0.0,-7229.269,129.7333,142.66335,388364,760,40661.473469257355
0.45,2,11,0,1042.0,8,0.10722636665896429,0.19,3,81,3,2238.0,12,39,-1027.419,2827.4082832162744,-17.266525,-9976.605,-504.26843,1908.404736946542,0.0,-10010.23,137.89168,120.38168,398842,780,42126.630949020386
0.2,0,16,1,735.0,0,0.10216103332582466,0.32,29,47,0,164.0,132,40,-596.9061,2159.1935531582158,-13.846555,-10001.909,-1620.9996,2590.6228440280534,0.0,-7274.1426,123.26666,195.90668,409322,800,43872.595983982086
0.5,0,10,2,953.0,0,0.09699516665935554,0.54,5,43,0,234.0,23,41,-1068.9617,2983.7741201371127,-14.133435,-10018.696,-316.30527,1199.3909787888185,-0.29,-6080.1743,143.86667,121.88333,420010,820,45358.250052928925
0.35,0,13,0,98.0,0,0.09244313332619628,0.4,24,43,0,180.0,100,42,-97.34013,113.5395959291295,-11.345871,-509.97415,-1260.8064,2286.6948725179755,0.0,-7203.65,113.216675,174.96498,429428,840,46772.451993227005
0.35,0,13,0,119.0,0,0.08772676665970996,0.41,10,53,0,334.0,43,43,-74.43039,72.16931047890094,-11.540485,-274.9859,-576.5796,1676.2681408414346,0.0,-7107.74,106.083336,133.57666,439186,860,48279.21174311638
0.6,0,8,1,478.0,0,0.08270009999323552,0.36,3,62,0,440.0,15,44,-546.72125,2176.7246036189326,-10.442837,-10032.928,-242.82968,1103.9560136164846,0.0,-7130.229,124.6,113.465,449586,880,49815.69663929939
0.3,0,14,0,75.0,0,0.07830949999340342,0.42,2,56,0,329.0,9,45,-56.686638,50.81383377708279,-9.245047,-225.4198,-153.58926,790.4683927899964,0.0,-6342.81,107.166664,109.91168,458670,900,51254.19779086113
0.6,0,8,0,29.0,0,0.07373039999357853,0.45,3,52,0,290.0,15,46,-76.12974,147.18893046014023,-9.568232,-692.7341,-216.61969,1021.7738693076859,0.0,-7103.09,114.21666,113.55667,468144,920,52454.59477710724
0.5,1,10,0,461.0,5,0.06890479999376306,0.31,3,69,0,527.0,14,47,-545.619,2113.0537144142836,-8.956484,-9752.067,-232.56512,1005.1416218623125,0.0,-6740.18,123.99166,112.435,478128,940,53758.592363119125
0.55,0,9,0,65.0,0,0.06440303332726854,0.31,3,69,0,676.0,12,48,-61.72804,68.65298552776129,-8.123531,-295.80432,-217.18488,851.2972218913909,0.0,-5156.88,109.26666,110.29835,487442,960,54984.59800982475
0.35,0,13,0,109.0,0,0.059986333327329174,0.35,3,65,0,563.0,16,49,-68.08577,76.91008345789257,-7.620916,-295.4816,-248.4098,1078.8088616617868,0.0,-7111.52,105.725,112.86167,496580,980,56240.42641711235
0.15,0,17,0,136.0,0,0.05594276666064298,0.43,5,55,0,375.0,24,50,-83.32704,47.47949598576737,-6.973115,-173.00389,-338.01468,1302.8848606074137,0.0,-7073.0024,106.39168,120.08,504946,1000,57390.60358071327
0.4,0,12,1,564.0,0,0.0510726999939528,0.54,1,46,0,293.0,4,51,-564.43884,2174.55108010826,-6.712793,-10040.679,-90.814445,486.4259861479442,0.0,-4905.31,123.25832,107.575,515022,1020,58728.96095085144
0.25,0,15,2,978.0,0,0.04589039999392778,0.3,3,69,0,423.0,14,52,-1075.8832,2990.3059375254566,-6.921095,-10050.853,-214.10057,960.6067249400246,0.0,-6884.4,138.425,111.81834,525744,1040,60204.14048099518
0.25,1,15,2,1305.0,3,0.04078929999390315,0.3,10,66,0,442.0,49,53,-1562.7432,3545.8561730560928,-5.0605197,-10019.388,-643.91895,1810.2920869296204,0.0,-7265.6,158.44168,135.105,536298,1060,61759.48349118233
0.25,0,15,1,643.0,0,0.036127066660547304,0.16,3,83,0,723.0,13,54,-581.59656,2168.190028572219,-4.82042,-10027.241,-253.32932,1024.7824744793404,0.0,-6997.335,119.575,112.38833,545944,1080,63015.06679844856
0.25,0,15,2,1088.0,0,0.031199966660523513,0.22,1,77,0,771.0,4,55,-1067.1232,2987.2671122616407,-4.122172,-10036.461,-128.3512,488.34663918163704,0.0,-4930.52,133.39168,104.58833,556138,1100,64308.78071260452
0.15,0,17,2,994.0,0,0.025992533327165036,0.26,5,74,1,1212.0,18,56,-1077.9456,2980.404133670466,-3.6176581,-10019.532,-393.77014,1444.1697961112468,0.0,-10022.77,138.16666,117.52833,566912,1120,65788.40528440475
0.4,1,12,0,482.0,2,0.020899166660473777,0.15,3,85,0,1007.0,14,57,-352.38196,1290.87958384971,-2.642115,-5972.613,-271.06552,986.7849208414161,0.0,-7214.0425,113.175,111.56999,577450,1140,67156.2134399414
0.2,0,16,1,681.0,0,0.016254333327118016,0.26,3,74,0,799.0,14,58,-580.727,2166.389254035387,-2.051719,-10019.302,-259.61765,1011.4284947538308,0.0,-6241.831,117.19167,112.17166,587060,1160,68360.45513558388
0.3,0,14,0,261.0,0,0.011676199993762577,0.28,3,71,1,994.0,14,59,-250.33582,793.5569292747685,-1.3784808,-3692.1477,-328.78784,1380.826187468937,0.0,-10012.21,113.61666,115.435,596532,1180,69597.98047566414
0.1,1,18,2,1108.0,1,0.01,0.37,24,47,0,319.0,89,60,-1073.9597,2980.7613792452426,-1.3478122,-10022.628,-1156.5568,2118.6625214979376,0.0,-7142.36,132.67502,166.95,606644,1200,71029.95277786255
0.25,0,15,0,114.0,0,0.01,0.15,3,85,0,950.0,12,61,-63.32599,77.5360526021605,-1.239727,-315.01776,-260.72687,950.1273598839263,0.0,-6733.13,103.475,111.42999,615954,1220,72277.14449334145
0.3,2,14,1,682.0,7,0.01,0.25,2,74,1,997.0,8,62,-921.0873,2666.6525832961443,-1.0575867,-10028.789,-260.2543,1195.5378371260358,0.0,-10005.04,135.16666,111.49166,626250,1240,73577.85892438889
